Date,Price
2014-01-01,38.21
2014-01-02,37.61
2014-01-03,37.01
2014-01-06,36.63
2014-01-07,35.41
2014-01-08,35.21
2014-01-09,35.06
2014-01-10,34.5
2014-01-13,34.63
2014-01-14,33.59
2014-01-15,33.65
2014-01-16,34.19
2014-01-17,33.88
2014-01-20,33.61
2014-01-21,34.42
2014-01-22,35.28
2014-01-23,34.92
2014-01-24,33.74
2014-01-27,31.72
2014-01-28,32.9
2014-01-29,32.12
2014-01-30,31.09
2014-01-31,31.95
2014-02-03,30.78
2014-02-04,30.77
2014-02-05,32.25
2014-02-06,32.41
2014-02-07,34.49
2014-02-10,34.32
2014-02-11,34.97
2014-02-12,33.59
2014-02-13,32.97
2014-02-14,33.27
2014-02-17,33.56
2014-02-18,34.06
2014-02-19,33.54
2014-02-20,32.91
2014-02-21,33.59
2014-02-24,33.13
2014-02-25,32.35
2014-02-26,31.34
2014-02-28,30.85
2014-03-03,30.98
2014-03-04,31.56
2014-03-05,31.94
2014-03-06,32.68
2014-03-07,33.3
2014-03-10,32.67
2014-03-11,30.84
2014-03-12,30.47
2014-03-13,30.22
2014-03-14,30.66
2014-03-18,30.57
2014-03-19,32.0
2014-03-20,31.4
2014-03-21,32.56
2014-03-22,32.51
2014-03-24,32.58
2014-03-25,32.94
2014-03-26,33.63
2014-03-27,33.68
2014-03-28,34.23
2014-03-31,35.35
2014-04-01,35.99
2014-04-02,36.2
2014-04-03,35.68
2014-04-04,36.07
2014-04-07,36.49
2014-04-09,37.57
2014-04-10,37.49
2014-04-11,37.67
2014-04-15,36.71
2014-04-16,37.12
2014-04-17,37.59
2014-04-21,38.0
2014-04-22,37.76
2014-04-23,38.27
2014-04-25,38.3
2014-04-28,38.2
2014-04-29,36.38
2014-04-30,35.95
2014-05-02,35.0
2014-05-05,35.67
2014-05-06,36.05
2014-05-07,35.88
2014-05-08,36.07
2014-05-09,37.39
2014-05-12,37.69
2014-05-13,38.32
2014-05-14,40.59
2014-05-15,41.33
2014-05-16,39.56
2014-05-19,40.44
2014-05-20,41.91
